Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Namibia,NAM,22.3,21.8,21.8,21.2,20.7,21.3,20.7,20.7,20.7,20.7
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Nepal,NPL,31.7,31.5,31.5,29.9,29.9,29.9,29.9,30,37,41.8
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Netherlands,NLD,39.4,39.6,39.2,39.5,39,41,40.4,40.7,40.8,41.2
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,New Zealand,NZL,34.7,34.4,34,34.4,34.4,34.3,34.3,34.5,34.6,34.6
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Nicaragua,NIC,63.3,64.1,62.4,62.4,59.3,60.1,59.8,60.2,60.6,60.6
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Niger,NER,46.7,44.3,44.3,47.3,47.3,48.1,48.1,47.2,47.2,47.2
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Nigeria,NGA,..,..,..,33,33,33.9,34.9,34.8,34.8,34.8
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,North Macedonia,MKD,8.1,7.5,7.4,7.4,8.3,13,13,13,13,13
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Norway,NOR,40.7,40.7,40.7,40.7,40.4,39.5,39.5,37.7,37,36.2
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Oman,OMN,21.6,22,22,23,22.9,23.4,23.9,23.9,27.4,27.4
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Pakistan,PAK,..,..,..,32.4,32.6,32.9,33.4,33.9,34.1,33.9
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Palau,PLW,72.5,72.5,75.2,75,75.4,75.4,75.5,75.5,75.8,76.6
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Panama,PAN,43.8,43.6,40.5,37,37.2,37.2,37.2,37.2,37.2,37.2
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Papua New Guinea,PNG,42.1,42.1,42.1,39.3,39.3,39.3,39.3,39.3,39.3,37.1
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Paraguay,PRY,35,35,35,35,35,35,35,35,35,35
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Peru,PER,38.2,37.6,37.4,37.4,37.3,37.3,35.6,35.6,36.8,36.8
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Philippines,PHL,43.8,44.5,44.5,42.5,42.5,42.9,42.9,42.9,42.9,43.1
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Poland,POL,40.6,40.1,40.3,40.1,40.1,40.3,40.4,40.5,40.7,40.8
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Portugal,PRT,42.6,42.6,41.9,42.2,42.3,40.9,39.8,39.8,39.8,39.8
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Puerto Rico,PRI,63.6,63.1,50.4,49.6,66,67,64.4,64.4,64.4,64.4
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Qatar,QAT,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Romania,ROU,44,43.5,43.3,43.2,43.2,42,40,40,40,20
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Russian Federation,RUS,..,..,..,48.7,48.9,47,47.4,47.5,46.3,46.2
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Rwanda,RWA,34.7,34.7,34.5,33,33,33,33,33.2,33.2,33.2
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Samoa,WSM,18.4,18.4,18.4,18.4,18.1,18.1,18.5,19.3,19.3,19.3
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,San Marino,SMR,..,..,40.1,39.9,39.9,40.3,35.2,35.7,35.7,36.2
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,São Tomé and Principe,STP,38.8,38,38,38,37.5,37.5,37,37,37,37
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Saudi Arabia,SAU,14.7,14.7,14.7,14.6,14.6,15,15.7,15.7,15.7,15.7
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Senegal,SEN,45.5,45.5,45.5,45.3,45.1,47.3,45.1,45.1,45.1,44.8
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Serbia,SRB,31.2,31.2,31.2,31.2,35.6,36.6,36.7,36.7,36.6,36.6
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Seychelles,SYC,42,30,23.5,25.5,29.8,30.1,30.1,30.1,30.1,30.1
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Sierra Leone,SLE,235.2,32.4,32.4,31,31,30.7,30.7,30.7,30.7,30.7
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Singapore,SGP,23.4,23.8,18.4,20.1,18,18,19.1,20.3,20.6,21
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Slovak Republic,SVK,48.9,48.3,49.2,48.7,49.4,50.4,50.1,50.1,49.7,49.7
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Slovenia,SVN,33.6,32.9,32.9,31.4,31,31,31,31,31,31
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Solomon Islands,SLB,26.2,26.2,25.3,32,32,32,32,32,32,32
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Somalia,SOM,..,..,..,..,..,..,..,..,..,..
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,South Africa,ZAF,30.2,31.8,32,28.7,28.9,28.8,28.8,28.9,29.1,29.2
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,South Sudan,SSD,..,..,26.4,29.2,29,29,31.4,31.4,31.4,31.4
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Spain,ESP,55.3,37.6,37.6,56.9,57.9,49.8,48.7,46.9,47,47
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Sri Lanka,LKA,96.6,112.9,55.3,57,55.4,55.2,55.2,55.2,55.2,55.2
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,St. Kitts and Nevis,KNA,52.5,52.5,51.9,51.6,49.7,49.7,49.7,49.7,49.7,49.7
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,St. Lucia,LCA,34,34.4,34.6,34.7,34.7,34.7,34.7,34.7,34.7,34.7
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,St. Vincent and the Grenadines,VCT,38.7,38.7,38.7,38.6,38.6,39.3,39.3,39.3,39.3,37
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Sudan,SDN,36.1,36.1,36.1,45.4,45.4,45.4,45.4,45.4,45.4,45.4
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Suriname,SUR,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Sweden,SWE,52.1,52.1,52.1,52.1,49.1,49.1,49.1,49.1,49.1,49.1
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Switzerland,CHE,28.8,28.9,29.4,28.8,28.8,28.8,28.8,28.8,28.8,28.8
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Syrian Arab Republic,SYR,39.9,39.9,39.9,39.9,42.7,42.7,42.7,42.7,42.7,42.7
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,"Taiwan, China",TWN,41.3,35.5,34.7,34.2,34.2,34.5,34.5,34.3,34.6,36.8
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Tajikistan,TJK,84,84.5,84.5,80.9,81.8,81.8,66.1,66.3,67.3,67.3
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Tanzania,TZA,44.4,44.9,44.9,44.3,44.3,43.9,43.9,44.1,44,43.8
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Thailand,THA,35.8,35.9,36.1,28.7,26,26.8,29.6,28.7,29.5,29.5
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Timor-Leste,TLS,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,17.3
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Togo,TGO,50.3,48.9,48.9,48.9,50.3,48.5,48.5,48.5,48.2,48.2
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Tonga,TON,23.6,23.6,23.6,27.5,27.5,27.5,27.5,27.5,27.5,27.5
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Trinidad and Tobago,TTO,35,31,31,31.5,32,32.2,32,36.2,39.7,40.5
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Tunisia,TUN,62.8,62.8,62.8,62.8,62.8,60.2,60.2,64.1,60.2,60.7
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Turkey,TUR,42.9,39.7,39.7,39.4,39.8,40.5,40.5,40.4,40.4,42.3
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Uganda,UGA,33.5,33.5,33.5,33.5,33.5,33.5,33.7,33.7,33.7,33.7
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Ukraine,UKR,55.5,57.1,55.4,54.4,52.7,52.2,52.3,37.8,41.7,45.2
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,United Arab Emirates,ARE,14.1,14.1,14.9,14.8,14.8,15.9,15.9,15.9,15.9,15.9
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,United Kingdom,GBR,36.1,36.2,35,34.7,33.5,32,30.9,30.7,30,30.6
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,United States,USA,..,..,..,43.8,43.8,43.9,44,43.8,43.8,36.6
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Uruguay,URY,41.9,41.9,41.9,41.8,41.8,41.8,41.8,41.8,41.8,41.8
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Uzbekistan,UZB,95.8,97.7,98.7,93.7,42.1,41.1,38.1,38.3,32.1,31.6
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Vanuatu,VUT,8.4,8.4,8.4,8.5,8.5,8.5,8.5,8.5,8.5,8.5
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,"Venezuela, RB",VEN,51.9,62.8,61.5,65,65,64.7,65,70.1,70.1,73.3
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Vietnam,VNM,33.1,39.9,35.3,40.8,40.8,39.4,39.4,38.1,37.8,37.6
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,West Bank and Gaza,PSE,16.5,16.5,16.5,16.5,15.3,15.3,15.3,15.3,15.3,15.3
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,"Yemen, Rep.",YEM,49.3,34.5,33.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Zambia,ZMB,14.3,14.4,16.2,15.9,15.5,18.6,18.6,15.6,15.6,15.6
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Zimbabwe,ZWE,38.2,33.5,33.4,34.1,31.4,31.6,31.6,31.6,31.6,31.6
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Data from database: Doing Business,,,,,,,,,,,,,
Last Updated: 08/18/2021,,,,,,,,,,,,,
