Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Brunei Darussalam,BRN,15.7,16.7,15.4,15.8,15.8,8,8,8,8,8
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Bulgaria,BGR,28,27.2,27.8,27,27,27,27,27.1,27.7,28.3
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Burkina Faso,BFA,44.8,42.7,42.7,41.3,41.3,41.3,41.3,41.3,41.3,41.3
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Burundi,BDI,154.9,46.5,46.5,45.2,40.3,40.3,40.1,41.5,41.2,41.2
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Cabo Verde,CPV,37.5,37.9,37.2,36.5,36.5,36.5,36.6,36.6,37,37.5
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Cambodia,KHM,22.6,22.6,22.6,21,21,21,21,21.7,21.7,23.1
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Cameroon,CMR,48.8,48.8,48.8,48.8,48.8,48.8,57.7,57.7,57.7,57.7
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Canada,CAN,22,20.7,20.1,19.9,21.1,21.1,21,20.9,20.5,24.5
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Central African Republic,CAF,203.8,54.6,67.4,73.3,73.3,73.3,73.3,73.3,73.3,73.3
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Chad,TCD,75.8,75.8,75.7,72.4,63.5,63.5,63.5,63.5,63.5,63.5
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Chile,CHL,24.5,24.5,27.7,27.7,28.9,29.9,31.4,33,34,34
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,China,CHN,..,..,..,68.8,68.6,67.9,68.2,66.5,64,59.2
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Colombia,COL,83,79.1,78.7,78.8,79.9,72.3,72.2,72.3,71.9,71.2
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Comoros,COM,217.9,217.9,217.9,216.5,216.5,216.5,216.5,216.5,219.6,219.6
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,"Congo, Dem. Rep.",COD,339.1,339.1,339.1,55.7,54.7,54.6,54.6,54.6,54.6,50.7
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,"Congo, Rep.",COG,64.5,63.1,64.5,55.8,55,56,54.3,54.3,54.3,54.3
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Costa Rica,CRI,58.3,58.3,58.6,58.2,58.2,58.2,58.3,58.3,58.3,58.3
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Côte d'Ivoire,CIV,50.2,50.1,44.4,52.5,51.9,51.9,51.3,50.1,50.1,50.1
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Croatia,HRV,21.5,21.3,21.2,19.3,18.4,20,20.9,20.6,20.5,20.5
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Cyprus,CYP,21.7,21.6,21.6,21.9,22.5,24,24.2,22.7,22.2,22.4
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Czech Republic,CZE,45.4,45.7,45.7,45.6,46.5,46.5,46.1,46.1,46.1,46.1
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Denmark,DNK,27.5,25.7,26.3,25.6,25.4,23.9,24.4,23.8,23.8,23.8
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Djibouti,DJI,38.1,38.1,38.1,37.6,37.6,37.6,37.7,37.9,37.9,37.9
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Dominica,DMA,37,37.1,37.1,37,37,37,35.2,32.6,32.6,32.6
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Dominican Republic,DOM,40.1,41.2,43.4,43.5,43.5,43.5,42.4,48.8,48.8,48.8
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Ecuador,ECU,35.2,34.4,34.4,33.5,32.8,32.8,32.5,32.5,32.3,34.4
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,"Egypt, Arab Rep.",EGY,42.5,43.6,42.6,40.1,44.7,44.9,43.5,45.8,46.9,44.4
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,El Salvador,SLV,34.8,34.8,34.8,38.8,38.8,38.8,35.5,35.5,35.6,36.4
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Equatorial Guinea,GNQ,47.1,47.1,47.1,47.1,47.1,47.1,79.4,79.4,79.4,79.4
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Eritrea,ERI,84.5,84.5,84.5,83.7,83.7,83.7,83.7,83.7,83.7,83.7
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Estonia,EST,48.7,57.7,66.6,49.6,49.2,49.2,48.5,48.5,48.5,47.8
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Eswatini,SWZ,36.8,37.6,36.8,36.7,36.9,34.7,35.1,35.2,35.7,35.8
